name,count
UK,289
Spain,37
France,31
Netherlands,21
Ireland,21
Brazil,20
Portugal,19
Belgium,17
Argentina,16
Germany,15
Denmark,13
Italy,9
Switzerland,7
Nigeria,7
Norway,7
Austria,6
Senegal,6
Colombia,5
USA,5
Côte d'Ivoire,5
