name,count
Italy,235
Brazil,30
Argentina,27
Croatia,18
France,17
Serbia,17
Poland,16
Spain,15
Netherlands,11
Portugal,10
Slovenia,10
Uruguay,9
Ghana,9
Senegal,8
Sweden,7
Switzerland,7
Côte d'Ivoire,7
Belgium,7
Denmark,6
Germany,5
