name,count
Spain,353
Argentina,27
France,19
Brazil,18
Portugal,13
Uruguay,12
Colombia,9
Serbia,7
Morocco,6
Senegal,5
Denmark,5
Italy,5
Turkey,4
Chile,4
Cameroon,4
Belgium,4
Mexico,4
Ghana,4
Paraguay,3
Nigeria,3
