name,count
Germany,240
Austria,24
France,21
Switzerland,13
Brazil,12
USA,11
Netherlands,11
Sweden,10
Spain,9
Poland,7
Turkey,7
Croatia,7
Czechia,7
Japan,7
Denmark,6
Argentina,6
Serbia,6
Portugal,5
Norway,4
Slovakia,4
