name,count
France,310
Brazil,27
Senegal,20
Côte d'Ivoire,16
Belgium,13
Cameroon,11
Morocco,11
Portugal,10
Mali,8
Tunisia,8
Algeria,7
Serbia,7
Argentina,7
Spain,7
Italy,6
DR Congo,6
Sweden,5
Croatia,4
South Africa,4
Guinea,4
